,Gebiet,Total,Jahr
582,Mühlebach,5545,2009
583,Weinegg,4935,2009
584,Kreis 9,47520,2009
585,Albisrieden,17675,2009
586,Altstetten,29845,2009
587,Kreis 10,36939,2009
588,Höngg,21294,2009
589,Wipkingen,15645,2009
590,Kreis 11,64612,2009
591,Affoltern,22383,2009
592,Oerlikon,20740,2009
593,Seebach,21489,2009
594,Kreis 12,29599,2009
595,Saatlen,7132,2009
596,Schwamendingen-Mitte,10857,2009
597,Hirzenbach,11610,2009
598,Kreis 1,5536,2008
599,Rathaus,3051,2008
600,Hochschulen,702,2008
601,Lindenhof,940,2008
602,City,843,2008
603,Kreis 2,29531,2008
604,Wollishofen,15794,2008
605,Leimbach,5185,2008
606,Enge,8552,2008
607,Kreis 3,46595,2008
608,Alt-Wiedikon,15727,2008
609,Friesenberg,10325,2008
610,Sihlfeld,20543,2008
611,Kreis 4,27354,2008
612,Werd,4015,2008
613,Langstrasse,10455,2008
614,Hard,12884,2008
615,Kreis 5,12722,2008
616,Gewerbeschule,9751,2008
617,Escher Wyss,2971,2008
618,Kreis 6,30757,2008
619,Unterstrass,20655,2008
620,Oberstrass,10102,2008
621,Kreis 7,35240,2008
622,Fluntern,7542,2008
623,Hottingen,10548,2008
624,Hirslanden,6967,2008
625,Witikon,10183,2008
626,Kreis 8,15315,2008
627,Seefeld,4863,2008
628,Mühlebach,5491,2008
629,Weinegg,4961,2008
630,Kreis 9,47295,2008
631,Albisrieden,17555,2008
632,Altstetten,29740,2008
633,Kreis 10,36686,2008
634,Höngg,21186,2008
635,Wipkingen,15500,2008
636,Kreis 11,64283,2008
637,Affoltern,22044,2008
638,Oerlikon,20853,2008
639,Seebach,21386,2008
640,Kreis 12,29185,2008
641,Saatlen,6843,2008
642,Schwamendingen-Mitte,10864,2008
643,Hirzenbach,11478,2008
644,Kreis 1,5607,2007
645,Rathaus,3079,2007
646,Hochschulen,698,2007
647,Lindenhof,954,2007
648,City,876,2007
649,Kreis 2,29421,2007
650,Wollishofen,15744,2007
651,Leimbach,5204,2007
652,Enge,8473,2007
653,Kreis 3,46108,2007
654,Alt-Wiedikon,15440,2007
655,Friesenberg,10296,2007
656,Sihlfeld,20372,2007
657,Kreis 4,27056,2007
658,Werd,3944,2007
659,Langstrasse,10310,2007
660,Hard,12802,2007
661,Kreis 5,12714,2007
662,Gewerbeschule,9706,2007
663,Escher Wyss,3008,2007
664,Kreis 6,30203,2007
665,Unterstrass,20243,2007
666,Oberstrass,9960,2007
667,Kreis 7,34843,2007
668,Fluntern,7455,2007
669,Hottingen,10284,2007
670,Hirslanden,6977,2007
671,Witikon,10127,2007
672,Kreis 8,15431,2007
673,Seefeld,4920,2007
674,Mühlebach,5567,2007
675,Weinegg,4944,2007
676,Kreis 9,46875,2007
677,Albisrieden,17527,2007
678,Altstetten,29348,2007
679,Kreis 10,36474,2007
680,Höngg,21075,2007
681,Wipkingen,15399,2007
682,Kreis 11,63092,2007
683,Affoltern,20948,2007
684,Oerlikon,20754,2007
685,Seebach,21390,2007
686,Kreis 12,28991,2007
687,Saatlen,6842,2007
688,Schwamendingen-Mitte,10806,2007
689,Hirzenbach,11343,2007
690,Kreis 1,5608,2006
691,Rathaus,3097,2006
692,Hochschulen,711,2006
693,Lindenhof,955,2006
694,City,845,2006
695,Kreis 2,28898,2006
696,Wollishofen,15587,2006
697,Leimbach,4944,2006
698,Enge,8367,2006
699,Kreis 3,45887,2006
700,Alt-Wiedikon,15231,2006
701,Friesenberg,10342,2006
702,Sihlfeld,20314,2006
703,Kreis 4,26705,2006
704,Werd,3865,2006
705,Langstrasse,10332,2006
706,Hard,12508,2006
707,Kreis 5,12722,2006
708,Gewerbeschule,9735,2006
709,Escher Wyss,2987,2006
710,Kreis 6,29657,2006
711,Unterstrass,19959,2006
712,Oberstrass,9698,2006
713,Kreis 7,34421,2006
714,Fluntern,7379,2006
715,Hottingen,10180,2006
716,Hirslanden,6904,2006
717,Witikon,9958,2006
718,Kreis 8,15207,2006
719,Seefeld,4842,2006
720,Mühlebach,5549,2006
721,Weinegg,4816,2006
722,Kreis 9,46143,2006
723,Albisrieden,17275,2006
724,Altstetten,28868,2006
725,Kreis 10,36409,2006
726,Höngg,21017,2006
727,Wipkingen,15392,2006
728,Kreis 11,59868,2006
729,Affoltern,18793,2006
730,Oerlikon,20318,2006
731,Seebach,20757,2006
732,Kreis 12,28537,2006
733,Saatlen,6695,2006
734,Schwamendingen-Mitte,10637,2006
735,Hirzenbach,11205,2006
736,Kreis 1,5572,2005
737,Rathaus,3081,2005
738,Hochschulen,695,2005
739,Lindenhof,950,2005
740,City,846,2005
741,Kreis 2,28834,2005
742,Wollishofen,15592,2005
743,Leimbach,4867,2005
744,Enge,8375,2005
745,Kreis 3,45885,2005
746,Alt-Wiedikon,14971,2005
747,Friesenberg,10360,2005
