,index,Gebiet,Total,Jahr
472,21,Sihlfeld,20307,2011
473,22,Kreis 4,27453,2011
474,23,Werd,4189,2011
475,24,Langstrasse,10520,2011
476,25,Hard,12744,2011
477,26,Kreis 5,12924,2011
478,27,Gewerbeschule,9795,2011
479,28,Escher Wyss,3129,2011
480,29,Kreis 6,31556,2011
481,30,Unterstrass,21240,2011
482,31,Oberstrass,10316,2011
483,32,Kreis 7,35616,2011
484,33,Fluntern,7873,2011
485,34,Hottingen,10461,2011
486,35,Hirslanden,7024,2011
487,36,Witikon,10258,2011
488,37,Kreis 8,15501,2011
489,38,Seefeld,4908,2011
490,39,Mühlebach,5651,2011
491,40,Weinegg,4942,2011
492,41,Kreis 9,49813,2011
493,42,Albisrieden,18432,2011
494,43,Altstetten,31381,2011
495,44,Kreis 10,37192,2011
496,45,Höngg,21323,2011
497,46,Wipkingen,15869,2011
498,47,Kreis 11,67945,2011
499,48,Affoltern,24437,2011
500,49,Oerlikon,21253,2011
501,50,Seebach,22255,2011
502,51,Kreis 12,29510,2011
503,52,Saatlen,7131,2011
504,53,Schwamendingen-Mitte,10863,2011
505,54,Hirzenbach,11516,2011
506,9,Kreis 1,5563,2010
507,10,Rathaus,3099,2010
508,11,Hochschulen,678,2010
509,12,Lindenhof,951,2010
510,13,City,835,2010
511,14,Kreis 2,29878,2010
512,15,Wollishofen,15988,2010
513,16,Leimbach,5293,2010
514,17,Enge,8597,2010
515,18,Kreis 3,46699,2010
516,19,Alt-Wiedikon,15988,2010
517,20,Friesenberg,10596,2010
518,21,Sihlfeld,20115,2010
519,22,Kreis 4,27429,2010
520,23,Werd,4167,2010
521,24,Langstrasse,10379,2010
522,25,Hard,12883,2010
523,26,Kreis 5,12764,2010
524,27,Gewerbeschule,9688,2010
525,28,Escher Wyss,3076,2010
526,29,Kreis 6,31464,2010
527,30,Unterstrass,21233,2010
528,31,Oberstrass,10231,2010
529,32,Kreis 7,35447,2010
530,33,Fluntern,7637,2010
531,34,Hottingen,10570,2010
532,35,Hirslanden,6998,2010
533,36,Witikon,10242,2010
534,37,Kreis 8,15518,2010
535,38,Seefeld,4840,2010
536,39,Mühlebach,5679,2010
537,40,Weinegg,4999,2010
538,41,Kreis 9,48494,2010
539,42,Albisrieden,17835,2010
540,43,Altstetten,30659,2010
541,44,Kreis 10,36879,2010
542,45,Höngg,21179,2010
543,46,Wipkingen,15700,2010
544,47,Kreis 11,65796,2010
545,48,Affoltern,22972,2010
546,49,Oerlikon,20787,2010
547,50,Seebach,22037,2010
548,51,Kreis 12,29537,2010
549,52,Saatlen,7175,2010
550,53,Schwamendingen-Mitte,10903,2010
551,54,Hirzenbach,11459,2010
552,9,Kreis 1,5576,2009
553,10,Rathaus,3110,2009
554,11,Hochschulen,673,2009
555,12,Lindenhof,940,2009
556,13,City,853,2009
557,14,Kreis 2,29809,2009
558,15,Wollishofen,15854,2009
559,16,Leimbach,5287,2009
560,17,Enge,8668,2009
561,18,Kreis 3,46971,2009
562,19,Alt-Wiedikon,15504,2009
563,20,Friesenberg,11003,2009
564,21,Sihlfeld,20464,2009
565,22,Kreis 4,27398,2009
566,23,Werd,4104,2009
567,24,Langstrasse,10392,2009
568,25,Hard,12902,2009
569,26,Kreis 5,12777,2009
570,27,Gewerbeschule,9717,2009
571,28,Escher Wyss,3060,2009
572,29,Kreis 6,31131,2009
573,30,Unterstrass,21080,2009
574,31,Oberstrass,10051,2009
575,32,Kreis 7,35362,2009
576,33,Fluntern,7528,2009
577,34,Hottingen,10594,2009
